episode,env_steps,weight_norm,srank,srank_max
2998,409600,31.8223819732666,76,256
5865,819200,35.70844650268555,65,256
8522,1228800,38.56210708618164,64,256
10991,1638400,41.247440338134766,44,256
13274,2048000,43.68943405151367,51,256
15451,2457600,45.65174865722656,52,256
17438,2867200,47.463829040527344,43,256
19317,3276800,49.61497497558594,44,256
21042,3686400,51.19154739379883,45,256
22621,4096000,52.80156707763672,36,256
24108,4505600,54.503665924072266,35,256
25490,4915200,56.28252029418945,36,256
26772,5324800,57.75212097167969,30,256
27918,5734400,59.20525360107422,35,256
28937,6144000,60.494468688964844,41,256
29853,6553600,61.96158218383789,15,256
30716,6963200,63.54138946533203,35,256
31494,7372800,64.88043975830078,32,256
32221,7782400,66.2525405883789,29,256
32896,8192000,67.5511245727539,30,256
33558,8601600,68.90609741210938,32,256
34159,9011200,70.15266418457031,32,256
34731,9420800,71.3916244506836,29,256
35189,9830400,72.64667510986328,23,256
35621,10240000,73.69367218017578,43,256
35997,10649600,74.82054138183594,47,256
36437,11059200,76.1482925415039,29,256
36821,11468800,77.2200927734375,24,256
37244,11878400,78.38819885253906,26,256
37547,12288000,79.43185424804688,16,256
37897,12697600,80.69849395751953,27,256
38216,13107200,81.757080078125,26,256
38579,13516800,83.00332641601562,26,256
38952,13926400,84.07835388183594,46,256
39345,14336000,84.9730453491211,19,256
39711,14745600,86.18595123291016,19,256
40099,15155200,87.29390716552734,23,256
40508,15564800,88.2741470336914,30,256
40822,15974400,89.26976013183594,43,256
41150,16384000,90.38204193115234,25,256
41447,16793600,91.453369140625,28,256
41786,17203200,92.60933685302734,27,256
42194,17612800,93.66178894042969,29,256
42464,18022400,94.61676788330078,28,256
42801,18432000,95.74584197998047,36,256
43142,18841600,96.87094116210938,29,256
43455,19251200,98.01415252685547,30,256
43796,19660800,98.84679412841797,27,256
44116,20070400,99.75236511230469,24,256
44437,20480000,100.82217407226562,28,256
44751,20889600,101.80679321289062,37,256
45072,21299200,102.70382690429688,30,256
45422,21708800,103.70269012451172,26,256
45771,22118400,104.68978118896484,32,256
46155,22528000,105.63859558105469,29,256
46457,22937600,106.687255859375,37,256
46754,23347200,107.55094909667969,18,256
47072,23756800,108.45577239990234,28,256
47355,24166400,109.26483917236328,33,256
47704,24576000,110.14865112304688,35,256
47995,24985600,111.07763671875,28,256
48301,25395200,111.98653411865234,45,256
48613,25804800,112.86137390136719,25,256
48898,26214400,113.8816146850586,35,256
49240,26624000,114.71568298339844,26,256
49523,27033600,115.53924560546875,35,256
49814,27443200,116.33570098876953,27,256
50108,27852800,117.16263580322266,29,256
50398,28262400,118.014404296875,25,256
50671,28672000,118.81855010986328,29,256
50931,29081600,119.59207153320312,20,256
51263,29491200,120.53565216064453,15,256
51533,29900800,121.20543670654297,31,256
51808,30310400,122.12739562988281,39,256
52132,30720000,122.96222686767578,29,256
52431,31129600,123.6602783203125,34,256
52715,31539200,124.42080688476562,31,256
53011,31948800,125.27037048339844,29,256
53279,32358400,126.0323715209961,30,256
53547,32768000,126.8423843383789,25,256
