episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
0,103,411,6,0.020000000000000684,0.9967,,
1,138,552,9,0.370000000000001,0.9934000000000001,,
2,80,319,5,-0.20999999999999952,0.9901000000000001,,
3,22,85,1,-0.7899999999999999,0.9868000000000001,,
4,141,561,9,0.400000000000001,0.9835000000000002,,
5,132,525,8,0.31000000000000094,0.9802000000000002,,
6,114,453,7,0.13000000000000078,0.9769000000000002,,
7,325,1300,21,2.239999999999975,0.9736000000000002,,
8,36,142,2,-0.6499999999999999,0.9703000000000003,,
9,26,104,1,-0.75,0.9670000000000003,,
10,58,230,3,-0.4299999999999997,0.9637000000000003,,
11,55,219,3,-0.45999999999999974,0.9604000000000004,,
12,241,964,16,1.3999999999999928,0.9571000000000004,,
13,134,534,8,0.33000000000000096,0.9538000000000004,,
14,123,492,8,0.22000000000000086,0.9505000000000005,,
15,176,701,11,0.7500000000000013,0.9472000000000005,,
16,225,900,15,1.2399999999999962,0.9439000000000005,,
17,199,796,13,0.9800000000000015,0.9406000000000005,,
18,190,758,12,0.8900000000000015,0.9373000000000006,,
19,22,85,1,-0.7899999999999999,0.9340000000000006,,
20,213,851,14,1.1199999999999988,0.9307000000000006,,
21,118,472,7,0.17000000000000082,0.9274000000000007,,
22,108,430,7,0.07000000000000073,0.9241000000000007,,
23,103,409,6,0.020000000000000684,0.9208000000000007,,
24,106,422,7,0.05000000000000071,0.9175000000000008,,
25,138,552,9,0.370000000000001,0.9142000000000008,,
26,78,312,5,-0.22999999999999954,0.9109000000000008,,
27,121,482,8,0.20000000000000084,0.9076000000000009,,
28,196,782,13,0.9500000000000015,0.9043000000000009,,
29,190,758,12,0.8900000000000015,0.9010000000000009,,
30,150,597,9,0.4900000000000011,0.8977000000000009,,
31,74,295,4,-0.2699999999999996,0.894400000000001,,
32,97,388,6,-0.03999999999999937,0.891100000000001,,
33,64,255,4,-0.36999999999999966,0.887800000000001,,
34,195,778,12,0.9400000000000015,0.8845000000000011,,
35,174,696,11,0.7300000000000013,0.8812000000000011,,
36,49,196,3,-0.5199999999999998,0.8779000000000011,,
