episode,env_steps,weight_norm,srank,srank_max
100,12183,15.25728988647461,114,512
200,25923,17.51676368713379,269,512
300,38604,19.954837799072266,295,512
400,52861,22.39216423034668,300,512
500,65172,24.102392196655273,302,512
600,80251,25.89154052734375,304,512
700,94244,27.313304901123047,302,512
800,108455,28.699613571166992,305,512
900,120589,29.700599670410156,304,512
1000,134286,30.92074966430664,306,512
1100,148908,32.05303192138672,306,512
1200,162864,33.07282257080078,309,512
1300,175479,33.876983642578125,313,512
1400,189113,34.75732421875,314,512
1500,202155,35.63758087158203,317,512
1600,214385,36.49831771850586,318,512
1700,228337,37.4559211730957,318,512
1800,241161,38.251338958740234,317,512
1900,256225,39.2928581237793,319,512
2000,269578,40.193695068359375,319,512
2100,284583,41.03165054321289,321,512
2200,299575,41.95109558105469,323,512
2300,312533,42.684635162353516,323,512
2400,326977,43.55549621582031,325,512
2500,339773,44.15932846069336,326,512
2600,353731,44.80055236816406,328,512
2700,366788,45.39618682861328,328,512
2800,381941,46.2572021484375,329,512
2900,397333,46.92967224121094,331,512
3000,411864,47.65476989746094,330,512
