episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
0,103,411,6,0.020000000000000684,0.99802,,
1,138,552,9,0.370000000000001,0.99604,,
2,80,319,5,-0.20999999999999952,0.99406,,
3,22,85,1,-0.7899999999999999,0.9920800000000001,,
4,148,592,9,0.4700000000000011,0.9901000000000001,,
5,283,1131,18,1.8199999999999839,0.9881200000000001,,
6,280,1117,18,1.7899999999999845,0.9861400000000001,,
7,220,877,14,1.1899999999999973,0.9841600000000001,,
8,144,576,9,0.43000000000000105,0.9821800000000002,,
9,183,729,12,0.8200000000000014,0.9802000000000002,,
10,141,563,9,0.400000000000001,0.9782200000000002,,
11,64,254,4,-0.36999999999999966,0.9762400000000002,,
12,257,1028,17,1.5599999999999894,0.9742600000000002,,
13,284,1136,18,1.8299999999999836,0.9722800000000003,,
14,175,699,11,0.7400000000000013,0.9703000000000003,,
15,164,655,10,0.6300000000000012,0.9683200000000003,,
16,191,762,12,0.9000000000000015,0.9663400000000003,,
17,135,537,8,0.34000000000000097,0.9643600000000003,,
18,149,595,9,0.4800000000000011,0.9623800000000003,,
19,149,596,9,0.4800000000000011,0.9604000000000004,,
20,39,155,2,-0.6199999999999999,0.9584200000000004,,
21,126,503,8,0.2500000000000009,0.9564400000000004,,
22,45,180,3,-0.5599999999999998,0.9544600000000004,,
23,293,1171,19,1.9199999999999817,0.9524800000000004,,
24,202,806,13,1.0100000000000011,0.9505000000000005,,
25,12,47,0,-0.89,0.9485200000000005,,
26,59,233,3,-0.4199999999999997,0.9465400000000005,,
27,66,261,4,-0.34999999999999964,0.9445600000000005,,
28,164,653,10,0.6300000000000012,0.9425800000000005,,
29,174,693,11,0.7300000000000013,0.9406000000000005,,
30,276,1103,18,1.7499999999999853,0.9386200000000006,,
31,66,261,4,-0.34999999999999964,0.9366400000000006,,
32,359,1436,23,2.5799999999999677,0.9346600000000006,,
33,176,701,11,0.7500000000000013,0.9326800000000006,,
34,23,92,1,-0.7799999999999999,0.9307000000000006,,
35,95,378,6,-0.05999999999999939,0.9287200000000007,,
36,171,683,11,0.7000000000000013,0.9267400000000007,,
37,83,331,5,-0.1799999999999995,0.9247600000000007,,
38,263,1052,17,1.6199999999999881,0.9227800000000007,,
39,158,630,10,0.5700000000000012,0.9208000000000007,,
40,193,771,12,0.9200000000000015,0.9188200000000007,,
41,90,358,5,-0.10999999999999943,0.9168400000000008,,
42,88,352,5,-0.12999999999999945,0.9148600000000008,,
43,32,126,2,-0.69,0.9128800000000008,,
44,64,255,4,-0.36999999999999966,0.9109000000000008,,
45,295,1178,19,1.9399999999999813,0.9089200000000008,,
46,190,759,12,0.8900000000000015,0.9069400000000009,,
47,209,834,13,1.0799999999999996,0.9049600000000009,,
48,117,467,7,0.1600000000000008,0.9029800000000009,,
