episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
0,103,411,6,0.020000000000000684,0.9967,,
1,52,207,3,-0.48999999999999977,0.9934000000000001,,
2,100,400,6,-0.009999999999999343,0.9901000000000001,,
3,85,338,5,-0.15999999999999948,0.9868000000000001,,
4,52,205,3,-0.48999999999999977,0.9835000000000002,,
5,93,369,6,-0.0799999999999994,0.9802000000000002,,
6,200,800,13,0.9900000000000015,0.9769000000000002,,
7,108,429,7,0.07000000000000073,0.9736000000000002,,
8,247,988,16,1.4599999999999915,0.9703000000000003,,
9,97,385,6,-0.03999999999999937,0.9670000000000003,,
10,12,45,0,-0.89,0.9637000000000003,,
11,71,282,4,-0.2999999999999996,0.9604000000000004,,
12,110,440,7,0.09000000000000075,0.9571000000000004,,
13,103,412,6,0.020000000000000684,0.9538000000000004,,
14,116,462,7,0.1500000000000008,0.9505000000000005,,
15,8,30,0,-0.9299999999999999,0.9472000000000005,,
16,142,567,9,0.41000000000000103,0.9439000000000005,,
17,10,40,0,-0.91,0.9406000000000005,,
18,100,397,6,-0.009999999999999343,0.9373000000000006,,
19,96,384,6,-0.04999999999999938,0.9340000000000006,,
20,149,594,9,0.4800000000000011,0.9307000000000006,,
21,312,1245,20,2.1099999999999777,0.9274000000000007,,
22,215,858,14,1.1399999999999983,0.9241000000000007,,
23,112,448,7,0.11000000000000076,0.9208000000000007,,
24,101,403,6,6.661338147750939e-16,0.9175000000000008,,
25,189,753,12,0.8800000000000014,0.9142000000000008,,
26,102,408,6,0.010000000000000675,0.9109000000000008,,
27,152,608,10,0.5100000000000011,0.9076000000000009,,
28,207,828,13,1.06,0.9043000000000009,,
29,12,45,0,-0.89,0.9010000000000009,,
30,39,156,2,-0.6199999999999999,0.8977000000000009,,
31,326,1301,21,2.2499999999999747,0.894400000000001,,
32,171,684,11,0.7000000000000013,0.891100000000001,,
33,61,243,4,-0.3999999999999997,0.887800000000001,,
34,156,624,10,0.5500000000000012,0.8845000000000011,,
35,141,563,9,0.400000000000001,0.8812000000000011,,
36,324,1294,21,2.229999999999975,0.8779000000000011,,
37,351,1402,23,2.4999999999999694,0.8746000000000012,,
38,82,327,5,-0.1899999999999995,0.8713000000000012,,
39,293,1169,19,1.9199999999999817,0.8680000000000012,,
40,253,1010,16,1.5199999999999902,0.8647000000000012,,
41,118,472,7,0.17000000000000082,0.8614000000000013,,
42,203,812,13,1.020000000000001,0.8581000000000013,,
43,290,1158,19,1.8899999999999824,0.8548000000000013,,
44,240,959,15,1.389999999999993,0.8515000000000014,,
45,16,62,1,-0.85,0.8482000000000014,,
46,69,275,4,-0.3199999999999996,0.8449000000000014,,
47,98,391,6,-0.02999999999999936,0.8416000000000015,,
48,29,114,1,-0.72,0.8383000000000015,,
49,218,872,14,1.1699999999999977,0.8350000000000015,,
