episode,env_steps,weight_norm,srank,srank_max
100,14083,22.8761043548584,131,256
200,29475,23.566043853759766,141,256
300,49045,24.410316467285156,139,256
400,74086,25.32880973815918,142,256
500,104298,26.21149444580078,131,256
600,140620,27.085826873779297,106,256
700,174173,27.81861114501953,95,256
800,213470,28.604061126708984,103,256
900,258366,29.395511627197266,92,256
1000,301738,30.129831314086914,91,256
1100,346801,30.882905960083008,78,256
1200,389030,31.486230850219727,79,256
1300,433953,32.03867721557617,83,256
1400,482073,32.65622329711914,83,256
1500,528930,33.1945915222168,85,256
1600,580269,33.82985305786133,85,256
1700,629318,34.40537643432617,74,256
1800,674308,34.952728271484375,76,256
1900,730852,35.55690002441406,79,256
2000,783841,36.0673828125,65,256
2100,835877,36.65193176269531,61,256
2200,885416,37.099063873291016,66,256
2300,937095,37.48398208618164,64,256
2400,988550,38.009727478027344,67,256
2500,1040588,38.486778259277344,64,256
2600,1092707,39.067588806152344,57,256
2700,1149209,39.62849807739258,61,256
2800,1207209,40.137271881103516,68,256
2900,1263942,40.57715606689453,63,256
3000,1321421,41.091983795166016,61,256
