pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\02_ddqn_vec_attention\DDQN_seed0_0806_175409
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / AttentionQNetwork (269,321 trainable parameters)
arch    : 
            [agent encoder]     Linear(2->256) -> LayerNorm -> ReLU
            [ball encoder]      Linear(4->256) -> LayerNorm -> ReLU  (x,y,vx,vy; x,y는 agent 기준 상대좌표. 공 40개에 각각 동일하게 적용, 파라미터 공유)
            [+ sentinel]        학습되는 '공 없음' key/value 1개 추가 (항상 마스킹 안 함)
            [cross-attention]   Q=agent embed(1개) , K=V=ball embed(40개)+sentinel(1개) -> 4 head x 64dim -> softmax(QK^T/sqrt(d))·V (mask=0인 빈 슬롯은 attention에서 제외)
            [out_proj]          Linear(256->256)
            [combine]           agent embed + attention -> LayerNorm -> ReLU
            [head]              Linear(256->9)
run     : device=cuda, seed=0, episodes=3000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=256, layer_norm=True, dueling_net=False, use_attention=True(4 heads, fusion=residual, position=relative), augmentation=False(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.0033
env     : type=vec, obs=(202,), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

ep 20/3000 steps=1905 score20=5.80 eps=0.934 loss=nan q=nan sps=5771 elapsed=0.0m
ep 40/3000 steps=5400 score20=11.10 eps=0.868 loss=nan q=nan sps=6002 elapsed=0.0m
ep 60/3000 steps=8326 score20=9.10 eps=0.802 loss=0.25969 q=0.235 sps=3741 elapsed=0.0m
ep 80/3000 steps=11288 score20=9.40 eps=0.736 loss=0.07773 q=0.225 sps=1292 elapsed=0.1m
ep 100/3000 steps=14083 score20=8.75 eps=0.670 loss=0.01433 q=0.338 sps=953 elapsed=0.2m
  [eval] ep=100 mean=10.25+-1.46 median=8.0 max=23 P(>=120)=0.00 entropy=1.69/2.20 wnorm=22.876 srank=131/256
ep 120/3000 steps=16938 score20=9.00 eps=0.604 loss=0.01667 q=0.425 sps=630 elapsed=0.4m
ep 140/3000 steps=19750 score20=8.95 eps=0.538 loss=0.01553 q=0.477 sps=576 elapsed=0.6m
ep 160/3000 steps=22600 score20=8.90 eps=0.472 loss=0.01426 q=0.516 sps=554 elapsed=0.7m
ep 180/3000 steps=26162 score20=11.25 eps=0.406 loss=0.01687 q=0.569 sps=532 elapsed=0.8m
ep 200/3000 steps=29475 score20=10.55 eps=0.340 loss=0.01411 q=0.606 sps=518 elapsed=0.9m
  [eval] ep=200 mean=13.15+-1.87 median=12.0 max=29 P(>=120)=0.00 entropy=1.92/2.20 wnorm=23.566 srank=141/256
ep 220/3000 steps=33495 score20=12.85 eps=0.274 loss=0.01622 q=0.607 sps=470 elapsed=1.2m
ep 240/3000 steps=37594 score20=13.20 eps=0.208 loss=0.01411 q=0.607 sps=451 elapsed=1.4m
ep 260/3000 steps=41825 score20=13.55 eps=0.142 loss=0.01423 q=0.666 sps=431 elapsed=1.6m
ep 280/3000 steps=44805 score20=9.55 eps=0.076 loss=0.01206 q=0.706 sps=425 elapsed=1.8m
ep 300/3000 steps=49045 score20=13.70 eps=0.010 loss=0.01408 q=0.709 sps=419 elapsed=2.0m
  [eval] ep=300 mean=16.25+-1.90 median=15.0 max=41 P(>=120)=0.00 entropy=1.59/2.20 wnorm=24.410 srank=139/256
ep 320/3000 steps=53669 score20=14.90 eps=0.010 loss=0.01621 q=0.702 sps=397 elapsed=2.3m
ep 340/3000 steps=57837 score20=13.40 eps=0.010 loss=0.01348 q=0.756 sps=389 elapsed=2.5m
ep 360/3000 steps=62601 score20=15.40 eps=0.010 loss=0.01330 q=0.769 sps=386 elapsed=2.7m
ep 380/3000 steps=67464 score20=15.80 eps=0.010 loss=0.01332 q=0.805 sps=375 elapsed=3.0m
ep 400/3000 steps=74086 score20=21.55 eps=0.010 loss=0.01365 q=0.819 sps=360 elapsed=3.4m
  [eval] ep=400 mean=16.00+-1.66 median=15.5 max=31 P(>=120)=0.00 entropy=1.27/2.20 wnorm=25.329 srank=142/256
ep 420/3000 steps=78738 score20=15.05 eps=0.010 loss=0.01310 q=0.856 sps=346 elapsed=3.8m
ep 440/3000 steps=85805 score20=23.15 eps=0.010 loss=0.01275 q=0.894 sps=344 elapsed=4.2m
ep 460/3000 steps=92826 score20=23.00 eps=0.010 loss=0.01231 q=0.965 sps=343 elapsed=4.5m
ep 480/3000 steps=99131 score20=20.55 eps=0.010 loss=0.01396 q=0.987 sps=341 elapsed=4.8m
ep 500/3000 steps=104298 score20=16.65 eps=0.010 loss=0.01202 q=1.011 sps=339 elapsed=5.1m
  [eval] ep=500 mean=13.60+-1.52 median=14.0 max=25 P(>=120)=0.00 entropy=1.24/2.20 wnorm=26.211 srank=131/256
