episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
0,103,411,6,0.020000000000000684,0.9967,,
1,52,207,3,-0.48999999999999977,0.9934000000000001,,
2,100,400,6,-0.009999999999999343,0.9901000000000001,,
3,85,338,5,-0.15999999999999948,0.9868000000000001,,
4,52,205,3,-0.48999999999999977,0.9835000000000002,,
5,179,714,11,0.7800000000000014,0.9802000000000002,,
6,198,789,13,0.9700000000000015,0.9769000000000002,,
7,279,1115,18,1.7799999999999847,0.9736000000000002,,
8,46,181,3,-0.5499999999999998,0.9703000000000003,,
9,11,42,0,-0.9,0.9670000000000003,,
10,58,232,3,-0.4299999999999997,0.9637000000000003,,
11,67,265,4,-0.33999999999999964,0.9604000000000004,,
12,63,252,4,-0.37999999999999967,0.9571000000000004,,
13,134,534,8,0.33000000000000096,0.9538000000000004,,
14,17,67,1,-0.84,0.9505000000000005,,
15,157,627,10,0.5600000000000012,0.9472000000000005,,
16,60,239,3,-0.4099999999999997,0.9439000000000005,,
17,138,552,9,0.370000000000001,0.9406000000000005,,
18,208,831,13,1.0699999999999998,0.9373000000000006,,
19,189,755,12,0.8800000000000014,0.9340000000000006,,
20,245,980,16,1.439999999999992,0.9307000000000006,,
21,222,888,14,1.2099999999999969,0.9274000000000007,,
22,84,336,5,-0.16999999999999948,0.9241000000000007,,
23,16,61,1,-0.85,0.9208000000000007,,
24,264,1056,17,1.629999999999988,0.9175000000000008,,
25,38,150,2,-0.6299999999999999,0.9142000000000008,,
26,20,79,1,-0.8099999999999999,0.9109000000000008,,
27,226,902,15,1.249999999999996,0.9076000000000009,,
28,41,164,2,-0.5999999999999999,0.9043000000000009,,
29,62,247,4,-0.3899999999999997,0.9010000000000009,,
30,62,247,4,-0.3899999999999997,0.8977000000000009,,
31,100,399,6,-0.009999999999999343,0.894400000000001,,
32,282,1125,18,1.809999999999984,0.891100000000001,,
33,156,623,10,0.5500000000000012,0.887800000000001,,
34,87,347,5,-0.13999999999999946,0.8845000000000011,,
35,321,1284,21,2.1999999999999758,0.8812000000000011,,
36,108,431,7,0.07000000000000073,0.8779000000000011,,
37,187,747,12,0.8600000000000014,0.8746000000000012,,
38,178,709,11,0.7700000000000014,0.8713000000000012,,
39,32,127,2,-0.69,0.8680000000000012,,
40,60,239,3,-0.4099999999999997,0.8647000000000012,,
41,170,678,11,0.6900000000000013,0.8614000000000013,,
42,168,672,11,0.6700000000000013,0.8581000000000013,,
43,246,984,16,1.4499999999999917,0.8548000000000013,,
44,137,546,9,0.360000000000001,0.8515000000000014,,
45,49,195,3,-0.5199999999999998,0.8482000000000014,,
46,172,685,11,0.7100000000000013,0.8449000000000014,,
47,227,908,15,1.2599999999999958,0.8416000000000015,,
48,228,912,15,1.2699999999999956,0.8383000000000015,,
49,15,60,1,-0.86,0.8350000000000015,,
