episode,env_steps,weight_norm,srank,srank_max
100,13477,18.809656143188477,339,512
200,27346,19.71837615966797,356,512
300,42920,20.60272979736328,353,512
400,58455,21.334951400756836,360,512
500,74282,22.030467987060547,367,512
600,91370,22.746488571166992,367,512
700,108088,23.337980270385742,364,512
800,124433,23.81565284729004,364,512
900,141597,24.318185806274414,371,512
1000,159272,24.692598342895508,367,512
1100,179746,25.157268524169922,372,512
1200,201308,25.623397827148438,375,512
1300,221015,26.154804229736328,371,512
1400,241459,26.625991821289062,368,512
1500,264606,27.05465316772461,376,512
1600,286653,27.53445053100586,375,512
1700,308610,28.095170974731445,377,512
1800,331796,28.6715030670166,372,512
1900,352389,29.15787124633789,372,512
2000,374434,29.666709899902344,378,512
2100,395370,30.16616439819336,375,512
2200,418259,30.74849510192871,368,512
2300,440746,31.345975875854492,368,512
2400,464763,31.897541046142578,370,512
2500,488091,32.36948776245117,369,512
2600,510701,32.83327102661133,364,512
2700,534302,33.3392219543457,359,512
2800,558149,33.787410736083984,361,512
2900,581620,34.29244613647461,357,512
3000,605227,34.75060272216797,358,512
