episode,env_steps,weight_norm,srank,srank_max
100,13568,18.80115509033203,342,512
200,25845,19.620275497436523,350,512
300,39130,20.573192596435547,351,512
400,54018,21.285968780517578,350,512
500,69089,22.015207290649414,349,512
600,85944,22.832693099975586,356,512
700,102231,23.44852066040039,361,512
800,118205,23.987762451171875,348,512
900,136317,24.612363815307617,356,512
1000,152176,25.121877670288086,354,512
1100,172349,25.731664657592773,352,512
1200,192203,26.27686882019043,360,512
1300,212398,26.73232650756836,360,512
1400,233244,27.271812438964844,360,512
1500,252877,27.766918182373047,362,512
1600,273779,28.34791374206543,362,512
1700,296538,28.946517944335938,369,512
1800,315556,29.442485809326172,367,512
1900,337479,29.949312210083008,365,512
2000,359170,30.49335479736328,364,512
2100,380544,31.01197052001953,366,512
2200,404142,31.52649688720703,366,512
2300,427584,32.068023681640625,367,512
2400,450773,32.59305953979492,358,512
2500,473789,33.10702896118164,362,512
2600,496664,33.62941360473633,363,512
2700,520762,34.15351104736328,368,512
2800,547330,34.68780517578125,359,512
2900,572159,35.16819763183594,351,512
3000,596425,35.62026596069336,349,512
3100,621589,36.07561111450195,348,512
3200,646882,36.56171417236328,354,512
3300,675557,37.023521423339844,352,512
3400,702545,37.477237701416016,343,512
3500,731049,37.970558166503906,344,512
3600,757623,38.46894073486328,340,512
3700,787277,38.979103088378906,334,512
3800,817115,39.44792556762695,341,512
3900,843255,39.848899841308594,322,512
4000,873618,40.30922317504883,331,512
4100,901255,40.732181549072266,321,512
4200,931082,41.179901123046875,330,512
4300,961703,41.61698913574219,316,512
4400,991708,42.06753158569336,317,512
4500,1020068,42.42878723144531,298,512
4600,1049440,42.88785934448242,308,512
4700,1077907,43.29070281982422,307,512
4800,1110434,43.73585891723633,315,512
4900,1141721,44.13957595825195,305,512
5000,1170981,44.47089767456055,307,512
5100,1202181,44.85270309448242,296,512
5200,1233435,45.23369598388672,283,512
5300,1265860,45.637027740478516,280,512
5400,1298348,46.06398010253906,275,512
5500,1330420,46.42509841918945,263,512
5600,1362305,46.82540512084961,268,512
5700,1394329,47.223819732666016,269,512
5800,1426010,47.61223220825195,267,512
5900,1458110,47.9661750793457,243,512
6000,1488631,48.321868896484375,267,512
6100,1519081,48.65830993652344,252,512
6200,1552210,49.05699157714844,265,512
6300,1584575,49.440738677978516,256,512
6400,1615445,49.83234786987305,252,512
6500,1649484,50.2432975769043,242,512
6600,1683559,50.62312316894531,246,512
6700,1715093,50.944644927978516,239,512
6800,1747753,51.305702209472656,231,512
6900,1781403,51.686302185058594,226,512
7000,1817542,52.013816833496094,231,512
7100,1849780,52.313079833984375,223,512
7200,1882834,52.62342834472656,232,512
7300,1918858,53.00725555419922,214,512
7400,1952569,53.35462951660156,209,512
7500,1986611,53.68857192993164,209,512
7600,2020913,54.02961349487305,203,512
7700,2054208,54.34514617919922,213,512
7800,2090403,54.66020584106445,211,512
7900,2123361,54.9567985534668,205,512
8000,2153631,55.22572708129883,191,512
8100,2185190,55.525814056396484,190,512
8200,2222029,55.84353256225586,195,512
8300,2254442,56.11695098876953,194,512
8400,2286268,56.3904914855957,185,512
8500,2320518,56.69948196411133,212,512
8600,2352280,56.95642852783203,192,512
8700,2387442,57.2354850769043,200,512
8800,2422061,57.50166320800781,205,512
8900,2455007,57.78166961669922,200,512
9000,2492481,58.077274322509766,190,512
9100,2527731,58.32419204711914,185,512
9200,2561505,58.57275390625,173,512
9300,2595431,58.853424072265625,174,512
9400,2629133,59.10973358154297,176,512
9500,2665149,59.363197326660156,173,512
9600,2701891,59.58406066894531,177,512
9700,2735947,59.800785064697266,168,512
9800,2770053,60.038387298583984,171,512
9900,2804514,60.279930114746094,173,512
10000,2837363,60.4825553894043,185,512
