episode,env_steps,weight_norm,srank,srank_max
3097,409600,19.70600128173828,291,512
6154,819200,23.0197811126709,284,512
9053,1228800,25.918087005615234,282,512
11544,1638400,28.57037353515625,268,512
13789,2048000,30.651229858398438,256,512
15660,2457600,32.458824157714844,284,512
17425,2867200,34.20509338378906,299,512
19215,3276800,36.112247467041016,298,512
21008,3686400,37.912532806396484,318,512
22724,4096000,39.43423080444336,333,512
24408,4505600,40.89247131347656,330,512
26158,4915200,42.4517822265625,332,512
27853,5324800,43.80939865112305,337,512
29624,5734400,45.053104400634766,337,512
31224,6144000,46.20315170288086,330,512
32831,6553600,47.29545593261719,317,512
34399,6963200,48.52151870727539,329,512
35892,7372800,49.71318054199219,338,512
37414,7782400,50.934627532958984,331,512
39011,8192000,52.196807861328125,340,512
40575,8601600,53.40428924560547,330,512
42088,9011200,54.61328887939453,333,512
43491,9420800,55.826900482177734,340,512
44917,9830400,57.105648040771484,322,512
46276,10240000,58.31569290161133,314,512
47614,10649600,59.503753662109375,307,512
49038,11059200,60.76116943359375,334,512
50337,11468800,61.97162628173828,312,512
51664,11878400,63.27994918823242,323,512
52963,12288000,64.51593017578125,293,512
54265,12697600,65.87773132324219,291,512
55598,13107200,67.22705078125,304,512
56935,13516800,68.56938171386719,319,512
58420,13926400,69.85259246826172,305,512
59674,14336000,71.0501708984375,316,512
60920,14745600,72.45037841796875,289,512
62152,15155200,73.8759994506836,293,512
63347,15564800,75.26871490478516,311,512
64632,15974400,76.67718505859375,293,512
65990,16384000,78.25940704345703,309,512
67179,16793600,79.65727233886719,304,512
68405,17203200,81.0920639038086,279,512
69579,17612800,82.47652435302734,276,512
70828,18022400,84.11627197265625,286,512
72018,18432000,85.56282043457031,289,512
73230,18841600,87.07958221435547,283,512
74343,19251200,88.58045959472656,296,512
75644,19660800,90.29920196533203,288,512
76518,19996672,91.6306381225586,278,512
