episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
1,10,38,0,-0.91,0.9974656,,
2,12,46,0,-0.89,0.99695872,,
3,13,51,0,-0.88,0.99670528,,
4,13,49,0,-0.88,0.99670528,,
5,13,52,0,-0.88,0.99670528,,
6,21,82,1,-0.7999999999999999,0.99467776,,
7,22,87,1,-0.7899999999999999,0.99442432,,
8,22,85,1,-0.7899999999999999,0.99442432,,
9,23,92,1,-0.7799999999999999,0.99417088,,
10,23,92,1,-0.7799999999999999,0.99417088,,
11,25,100,1,-0.7599999999999999,0.993664,,
12,27,108,1,-0.74,0.99315712,,
13,28,109,1,-0.73,0.99290368,,
14,28,109,1,-0.73,0.99290368,,
15,29,115,1,-0.72,0.99265024,,
16,23,89,1,-0.7799999999999999,0.99163648,0.26442230117390864,0.5619565177039476
17,12,47,0,-0.89,0.99062272,0.26442230117390864,0.5619565177039476
18,37,145,2,-0.6399999999999999,0.99062272,0.26442230117390864,0.5619565177039476
19,15,60,1,-0.86,0.99036928,0.26442230117390864,0.5619565177039476
20,42,165,2,-0.5899999999999999,0.98935552,0.26442230117390864,0.5619565177039476
21,46,182,3,-0.5499999999999998,0.98834176,0.26442230117390864,0.5619565177039476
22,47,188,3,-0.5399999999999998,0.98808832,0.26442230117390864,0.5619565177039476
23,47,188,3,-0.5399999999999998,0.98808832,0.26442230117390864,0.5619565177039476
24,48,189,3,-0.5299999999999998,0.98783488,0.26442230117390864,0.5619565177039476
25,38,150,2,-0.6299999999999999,0.98707456,0.26442230117390864,0.5619565177039476
26,52,207,3,-0.48999999999999977,0.98682112,0.26442230117390864,0.5619565177039476
27,52,208,3,-0.48999999999999977,0.98682112,0.26442230117390864,0.5619565177039476
28,53,212,3,-0.47999999999999976,0.98656768,0.26442230117390864,0.5619565177039476
29,54,215,3,-0.46999999999999975,0.98631424,0.26442230117390864,0.5619565177039476
30,56,221,3,-0.44999999999999973,0.98580736,0.26442230117390864,0.5619565177039476
31,57,227,3,-0.4399999999999997,0.98555392,0.26442230117390864,0.5619565177039476
32,57,225,3,-0.4399999999999997,0.98555392,0.26442230117390864,0.5619565177039476
33,58,229,3,-0.4299999999999997,0.98530048,0.26442230117390864,0.5619565177039476
34,8,30,0,-0.9299999999999999,0.9835264,0.04964968317653984,0.9465831061825156
35,68,269,4,-0.3299999999999996,0.98276608,0.04964968317653984,0.9465831061825156
36,71,283,4,-0.2999999999999996,0.98200576,0.04964968317653984,0.9465831061825156
37,71,283,4,-0.2999999999999996,0.98200576,0.04964968317653984,0.9465831061825156
38,72,286,4,-0.2899999999999996,0.98175232,0.04964968317653984,0.9465831061825156
39,72,285,4,-0.2899999999999996,0.98175232,0.04964968317653984,0.9465831061825156
40,73,291,4,-0.2799999999999996,0.98149888,0.04964968317653984,0.9465831061825156
41,75,300,5,-0.25999999999999956,0.980992,0.04964968317653984,0.9465831061825156
42,77,307,5,-0.23999999999999955,0.98048512,0.04964968317653984,0.9465831061825156
43,77,308,5,-0.23999999999999955,0.98048512,0.04964968317653984,0.9465831061825156
44,78,312,5,-0.22999999999999954,0.98023168,0.04964968317653984,0.9465831061825156
45,78,310,5,-0.22999999999999954,0.98023168,0.04964968317653984,0.9465831061825156
46,79,316,5,-0.21999999999999953,0.97997824,0.04964968317653984,0.9465831061825156
47,80,319,5,-0.20999999999999952,0.9797248,0.04964968317653984,0.9465831061825156
48,82,327,5,-0.1899999999999995,0.97921792,0.04964968317653984,0.9465831061825156
49,82,328,5,-0.1899999999999995,0.97921792,0.04964968317653984,0.9465831061825156
50,10,37,0,-0.91,0.97795072,0.04964968317653984,0.9465831061825156
51,20,80,1,-0.8099999999999999,0.97769728,0.04964968317653984,0.9465831061825156
52,88,352,5,-0.12999999999999945,0.97769728,0.04964968317653984,0.9465831061825156
53,90,358,5,-0.10999999999999943,0.9771904,0.04964968317653984,0.9465831061825156
54,63,250,4,-0.37999999999999967,0.97693696,0.04964968317653984,0.9465831061825156
55,11,42,0,-0.9,0.97693696,0.04964968317653984,0.9465831061825156
56,93,370,6,-0.0799999999999994,0.97643008,0.04964968317653984,0.9465831061825156
57,94,373,6,-0.0699999999999994,0.97617664,0.04964968317653984,0.9465831061825156
58,95,378,6,-0.05999999999999939,0.9759232,0.04964968317653984,0.9465831061825156
59,75,298,4,-0.25999999999999956,0.9756697599999999,0.04964968317653984,0.9465831061825156
60,97,387,6,-0.03999999999999937,0.97541632,0.0566964141180506,1.0462095849215984
61,97,386,6,-0.03999999999999937,0.97541632,0.0566964141180506,1.0462095849215984
62,98,392,6,-0.02999999999999936,0.97516288,0.0566964141180506,1.0462095849215984
63,98,389,6,-0.02999999999999936,0.97516288,0.0566964141180506,1.0462095849215984
64,98,391,6,-0.02999999999999936,0.97516288,0.0566964141180506,1.0462095849215984
65,25,98,1,-0.7599999999999999,0.974656,0.0566964141180506,1.0462095849215984
66,100,398,6,-0.009999999999999343,0.974656,0.0566964141180506,1.0462095849215984
67,100,397,6,-0.009999999999999343,0.974656,0.0566964141180506,1.0462095849215984
68,101,404,6,6.661338147750939e-16,0.97440256,0.0566964141180506,1.0462095849215984
69,54,216,3,-0.46999999999999975,0.97440256,0.0566964141180506,1.0462095849215984
70,101,403,6,6.661338147750939e-16,0.97440256,0.0566964141180506,1.0462095849215984
71,102,406,6,0.010000000000000675,0.97414912,0.0566964141180506,1.0462095849215984
72,102,405,6,0.010000000000000675,0.97414912,0.0566964141180506,1.0462095849215984
73,103,410,6,0.020000000000000684,0.97389568,0.0566964141180506,1.0462095849215984
74,103,409,6,0.020000000000000684,0.97389568,0.0566964141180506,1.0462095849215984
75,104,416,6,0.030000000000000693,0.97364224,0.0566964141180506,1.0462095849215984
76,104,413,6,0.030000000000000693,0.97364224,0.0566964141180506,1.0462095849215984
77,58,230,3,-0.4299999999999997,0.9733887999999999,0.0566964141180506,1.0462095849215984
78,107,427,7,0.06000000000000072,0.97288192,0.0566964141180506,1.0462095849215984
79,107,426,7,0.06000000000000072,0.97288192,0.0566964141180506,1.0462095849215984
80,54,216,3,-0.46999999999999975,0.97262848,0.0566964141180506,1.0462095849215984
81,112,445,7,0.11000000000000076,0.97161472,0.0566964141180506,1.0462095849215984
82,113,450,7,0.12000000000000077,0.97136128,0.0566964141180506,1.0462095849215984
83,113,450,7,0.12000000000000077,0.97136128,0.0566964141180506,1.0462095849215984
84,118,471,7,0.17000000000000082,0.97009408,0.0566964141180506,1.0462095849215984
85,40,158,2,-0.6099999999999999,0.97009408,0.0566964141180506,1.0462095849215984
86,119,476,7,0.18000000000000083,0.96984064,0.0566964141180506,1.0462095849215984
87,120,480,8,0.19000000000000083,0.9695872,0.0566964141180506,1.0462095849215984
88,122,487,8,0.21000000000000085,0.96908032,0.0566964141180506,1.0462095849215984
89,101,404,6,6.661338147750939e-16,0.96857344,0.0566964141180506,1.0462095849215984
90,125,499,8,0.24000000000000088,0.96832,0.0566964141180506,1.0462095849215984
91,126,502,8,0.2500000000000009,0.96806656,0.0566964141180506,1.0462095849215984
92,126,501,8,0.2500000000000009,0.96806656,0.0566964141180506,1.0462095849215984
93,105,419,6,0.0400000000000007,0.96781312,0.0566964141180506,1.0462095849215984
94,114,455,7,0.13000000000000078,0.96781312,0.0566964141180506,1.0462095849215984
95,129,516,8,0.2800000000000009,0.96730624,0.07156785964616574,1.0925496499985456
96,131,521,8,0.30000000000000093,0.96679936,0.07156785964616574,1.0925496499985456
97,76,301,5,-0.24999999999999956,0.96654592,0.07156785964616574,1.0925496499985456
98,134,534,8,0.33000000000000096,0.96603904,0.07156785964616574,1.0925496499985456
99,137,548,9,0.360000000000001,0.96527872,0.07156785964616574,1.0925496499985456
100,109,435,7,0.08000000000000074,0.96527872,0.07156785964616574,1.0925496499985456
101,138,549,9,0.370000000000001,0.96502528,0.07156785964616574,1.0925496499985456
102,125,498,8,0.24000000000000088,0.96502528,0.07156785964616574,1.0925496499985456
103,39,153,2,-0.6199999999999999,0.96477184,0.07156785964616574,1.0925496499985456
104,140,557,9,0.390000000000001,0.9645184,0.07156785964616574,1.0925496499985456
105,142,568,9,0.41000000000000103,0.96401152,0.07156785964616574,1.0925496499985456
106,142,567,9,0.41000000000000103,0.96401152,0.07156785964616574,1.0925496499985456
107,143,569,9,0.42000000000000104,0.96375808,0.07156785964616574,1.0925496499985456
108,144,576,9,0.43000000000000105,0.96350464,0.07156785964616574,1.0925496499985456
109,146,582,9,0.45000000000000107,0.96299776,0.07156785964616574,1.0925496499985456
110,69,275,4,-0.3199999999999996,0.96299776,0.07156785964616574,1.0925496499985456
111,66,262,4,-0.34999999999999964,0.96249088,0.07156785964616574,1.0925496499985456
112,55,219,3,-0.45999999999999974,0.96249088,0.07156785964616574,1.0925496499985456
113,148,592,9,0.4700000000000011,0.96249088,0.07156785964616574,1.0925496499985456
114,150,600,10,0.4900000000000011,0.961984,0.07156785964616574,1.0925496499985456
115,151,604,10,0.5000000000000011,0.96173056,0.07156785964616574,1.0925496499985456
116,151,601,10,0.5000000000000011,0.96173056,0.07156785964616574,1.0925496499985456
117,8,31,0,-0.9299999999999999,0.96173056,0.07156785964616574,1.0925496499985456
118,67,265,4,-0.33999999999999964,0.96097024,0.07156785964616574,1.0925496499985456
119,9,35,0,-0.92,0.9607168,0.07156785964616574,1.0925496499985456
120,159,634,10,0.5800000000000012,0.95970304,0.07156785964616574,1.0925496499985456
121,163,649,10,0.6200000000000012,0.95868928,0.0541463825138635,1.10915906727314
122,68,272,4,-0.3299999999999996,0.95868928,0.0541463825138635,1.10915906727314
123,111,442,7,0.10000000000000075,0.95868928,0.0541463825138635,1.10915906727314
124,112,448,7,0.11000000000000076,0.95843584,0.0541463825138635,1.10915906727314
125,82,327,5,-0.1899999999999995,0.95843584,0.0541463825138635,1.10915906727314
126,108,431,7,0.07000000000000073,0.9581824,0.0541463825138635,1.10915906727314
127,165,659,10,0.6400000000000012,0.9581824,0.0541463825138635,1.10915906727314
128,166,664,11,0.6500000000000012,0.95792896,0.0541463825138635,1.10915906727314
129,167,666,11,0.6600000000000013,0.95767552,0.0541463825138635,1.10915906727314
130,16,63,1,-0.85,0.95767552,0.0541463825138635,1.10915906727314
131,168,669,11,0.6700000000000013,0.95742208,0.0541463825138635,1.10915906727314
132,171,683,11,0.7000000000000013,0.95666176,0.0541463825138635,1.10915906727314
133,171,681,11,0.7000000000000013,0.95666176,0.0541463825138635,1.10915906727314
134,74,296,4,-0.2699999999999996,0.95590144,0.0541463825138635,1.10915906727314
135,11,43,0,-0.9,0.95590144,0.0541463825138635,1.10915906727314
136,175,697,11,0.7400000000000013,0.955648,0.0541463825138635,1.10915906727314
137,63,252,4,-0.37999999999999967,0.955648,0.0541463825138635,1.10915906727314
138,124,495,8,0.23000000000000087,0.95514112,0.0541463825138635,1.10915906727314
139,73,289,4,-0.2799999999999996,0.95488768,0.0541463825138635,1.10915906727314
140,178,709,11,0.7700000000000014,0.95488768,0.0541463825138635,1.10915906727314
141,180,717,11,0.7900000000000014,0.9543808,0.0541463825138635,1.10915906727314
142,62,245,4,-0.3899999999999997,0.95412736,0.0541463825138635,1.10915906727314
143,155,619,10,0.5400000000000011,0.95336704,0.0541463825138635,1.10915906727314
