episode,env_steps,weight_norm,srank,srank_max
2274,409600,25.23151397705078,160,256
3232,819200,26.23406410217285,139,256
4005,1228800,27.036598205566406,107,256
4650,1638400,27.760663986206055,106,256
5271,2048000,28.30284309387207,84,256
5828,2457600,28.77364158630371,62,256
6320,2867200,29.19061851501465,45,256
6863,3276800,29.59186553955078,59,256
7413,3686400,29.897274017333984,52,256
7845,4096000,30.254884719848633,53,256
8299,4505600,30.62068748474121,54,256
8744,4915200,31.036378860473633,49,256
8859,4997120,31.100740432739258,46,256
