episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
1,10,38,0,-0.91,0.987328,,
2,12,46,0,-0.89,0.9847936,,
3,13,51,0,-0.88,0.9835264,,
4,13,49,0,-0.88,0.9835264,,
5,13,52,0,-0.88,0.9835264,,
6,21,82,1,-0.7999999999999999,0.9733887999999999,,
7,22,87,1,-0.7899999999999999,0.9721216,,
8,22,88,1,-0.7899999999999999,0.9721216,,
9,22,85,1,-0.7899999999999999,0.9721216,,
10,23,91,1,-0.7799999999999999,0.9708544,,
11,23,92,1,-0.7799999999999999,0.9708544,,
12,25,100,1,-0.7599999999999999,0.96832,,
13,26,103,1,-0.75,0.9670528,,
14,27,108,1,-0.74,0.9657856,,
15,28,109,1,-0.73,0.9645184,,
16,28,109,1,-0.73,0.9645184,,
17,29,115,1,-0.72,0.9632512,,
18,15,57,0,-0.86,0.9531136,1.2929457342252135,0.30532328283879906
19,12,47,0,-0.89,0.9531136,1.2929457342252135,0.30532328283879906
20,15,60,1,-0.86,0.9518464,1.2929457342252135,0.30532328283879906
21,17,68,1,-0.84,0.9417088,1.2929457342252135,0.30532328283879906
22,46,182,3,-0.5499999999999998,0.9417088,1.2929457342252135,0.30532328283879906
23,10,39,0,-0.91,0.9404416,1.2929457342252135,0.30532328283879906
24,48,189,3,-0.5299999999999998,0.9391744,1.2929457342252135,0.30532328283879906
25,53,209,3,-0.47999999999999976,0.9328384,1.2929457342252135,0.30532328283879906
26,54,213,3,-0.46999999999999975,0.9315712,1.2929457342252135,0.30532328283879906
27,54,213,3,-0.46999999999999975,0.9315712,1.2929457342252135,0.30532328283879906
28,54,215,3,-0.46999999999999975,0.9315712,1.2929457342252135,0.30532328283879906
29,56,224,3,-0.44999999999999973,0.9290368,1.2929457342252135,0.30532328283879906
30,56,222,3,-0.44999999999999973,0.9290368,1.2929457342252135,0.30532328283879906
31,57,226,3,-0.4399999999999997,0.9277696,1.2929457342252135,0.30532328283879906
32,59,235,3,-0.4199999999999997,0.9252352,1.2929457342252135,0.30532328283879906
33,61,244,4,-0.3999999999999997,0.9227008,1.2929457342252135,0.30532328283879906
34,61,242,4,-0.3999999999999997,0.9227008,1.2929457342252135,0.30532328283879906
35,62,246,4,-0.3899999999999997,0.9214336,1.2929457342252135,0.30532328283879906
