episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
1,10,38,0,-0.91,0.987328,,
2,12,46,0,-0.89,0.9847936,,
3,13,51,0,-0.88,0.9835264,,
4,13,49,0,-0.88,0.9835264,,
5,13,52,0,-0.88,0.9835264,,
6,18,69,1,-0.83,0.9771904,,
7,21,82,1,-0.7999999999999999,0.9733887999999999,,
8,22,87,1,-0.7899999999999999,0.9721216,,
9,22,85,1,-0.7899999999999999,0.9721216,,
10,23,92,1,-0.7799999999999999,0.9708544,,
11,25,100,1,-0.7599999999999999,0.96832,,
12,27,108,1,-0.74,0.9657856,,
13,28,109,1,-0.73,0.9645184,,
14,28,109,1,-0.73,0.9645184,,
15,29,115,1,-0.72,0.9632512,,
16,23,89,1,-0.7799999999999999,0.9581824,0.2263476416701451,0.09202143858055933
17,22,86,1,-0.7899999999999999,0.955648,0.2263476416701451,0.09202143858055933
18,36,143,2,-0.6499999999999999,0.9543808,0.2263476416701451,0.09202143858055933
19,11,42,0,-0.9,0.9543808,0.2263476416701451,0.09202143858055933
20,40,160,2,-0.6099999999999999,0.949312,0.2263476416701451,0.09202143858055933
21,46,181,3,-0.5499999999999998,0.9417088,0.2263476416701451,0.09202143858055933
22,48,192,3,-0.5299999999999998,0.9391744,0.2263476416701451,0.09202143858055933
23,53,212,3,-0.47999999999999976,0.9328384,0.2263476416701451,0.09202143858055933
24,54,213,3,-0.46999999999999975,0.9315712,0.2263476416701451,0.09202143858055933
25,54,214,3,-0.46999999999999975,0.9315712,0.2263476416701451,0.09202143858055933
26,55,217,3,-0.45999999999999974,0.930304,0.2263476416701451,0.09202143858055933
27,56,221,3,-0.44999999999999973,0.9290368,0.2263476416701451,0.09202143858055933
28,58,229,3,-0.4299999999999997,0.9265024,0.2263476416701451,0.09202143858055933
29,59,234,3,-0.4199999999999997,0.9252352,0.2263476416701451,0.09202143858055933
30,62,247,4,-0.3899999999999997,0.9214336,0.2263476416701451,0.09202143858055933
31,63,252,4,-0.37999999999999967,0.9201664,0.2263476416701451,0.09202143858055933
32,63,252,4,-0.37999999999999967,0.9201664,0.2263476416701451,0.09202143858055933
33,67,265,4,-0.33999999999999964,0.9150976,0.04247847749502398,0.4530981117859483
34,16,62,1,-0.85,0.9125632,0.04247847749502398,0.4530981117859483
