episode,decision_steps,physics_steps,score,ep_return,epsilon,mean_loss,mean_q
1,10,38,0,-0.91,0.9974656,,
2,12,46,0,-0.89,0.99695872,,
3,13,51,0,-0.88,0.99670528,,
4,13,49,0,-0.88,0.99670528,,
5,13,52,0,-0.88,0.99670528,,
6,21,82,1,-0.7999999999999999,0.99467776,,
7,22,87,1,-0.7899999999999999,0.99442432,,
8,22,85,1,-0.7899999999999999,0.99442432,,
9,23,92,1,-0.7799999999999999,0.99417088,,
10,23,92,1,-0.7799999999999999,0.99417088,,
11,25,100,1,-0.7599999999999999,0.993664,,
12,27,108,1,-0.74,0.99315712,,
13,28,109,1,-0.73,0.99290368,,
14,28,109,1,-0.73,0.99290368,,
15,29,115,1,-0.72,0.99265024,,
16,23,89,1,-0.7799999999999999,0.99163648,0.04764580075425329,0.24075129179982468
17,12,47,0,-0.89,0.99062272,0.04764580075425329,0.24075129179982468
18,37,146,2,-0.6399999999999999,0.99062272,0.04764580075425329,0.24075129179982468
19,15,60,1,-0.86,0.99036928,0.04764580075425329,0.24075129179982468
20,41,163,2,-0.5999999999999999,0.98960896,0.04764580075425329,0.24075129179982468
21,44,175,2,-0.5699999999999998,0.98884864,0.04764580075425329,0.24075129179982468
22,46,182,3,-0.5499999999999998,0.98834176,0.04764580075425329,0.24075129179982468
23,47,188,3,-0.5399999999999998,0.98808832,0.04764580075425329,0.24075129179982468
24,47,188,3,-0.5399999999999998,0.98808832,0.04764580075425329,0.24075129179982468
25,48,189,3,-0.5299999999999998,0.98783488,0.04764580075425329,0.24075129179982468
26,52,208,3,-0.48999999999999977,0.98682112,0.04764580075425329,0.24075129179982468
27,53,211,3,-0.47999999999999976,0.98656768,0.04764580075425329,0.24075129179982468
28,54,213,3,-0.46999999999999975,0.98631424,0.04764580075425329,0.24075129179982468
29,54,215,3,-0.46999999999999975,0.98631424,0.04764580075425329,0.24075129179982468
30,56,221,3,-0.44999999999999973,0.98580736,0.04764580075425329,0.24075129179982468
31,57,227,3,-0.4399999999999997,0.98555392,0.04764580075425329,0.24075129179982468
32,57,225,3,-0.4399999999999997,0.98555392,0.04764580075425329,0.24075129179982468
33,58,229,3,-0.4299999999999997,0.98530048,0.04764580075425329,0.24075129179982468
34,8,30,0,-0.9299999999999999,0.9835264,0.022313618595944718,0.44605589704588056
35,67,267,4,-0.33999999999999964,0.98301952,0.022313618595944718,0.44605589704588056
36,67,265,4,-0.33999999999999964,0.98301952,0.022313618595944718,0.44605589704588056
37,70,279,4,-0.3099999999999996,0.9822592,0.022313618595944718,0.44605589704588056
38,71,283,4,-0.2999999999999996,0.98200576,0.022313618595944718,0.44605589704588056
39,71,283,4,-0.2999999999999996,0.98200576,0.022313618595944718,0.44605589704588056
40,72,287,4,-0.2899999999999996,0.98175232,0.022313618595944718,0.44605589704588056
41,72,286,4,-0.2899999999999996,0.98175232,0.022313618595944718,0.44605589704588056
42,72,285,4,-0.2899999999999996,0.98175232,0.022313618595944718,0.44605589704588056
43,73,291,4,-0.2799999999999996,0.98149888,0.022313618595944718,0.44605589704588056
44,78,312,5,-0.22999999999999954,0.98023168,0.022313618595944718,0.44605589704588056
45,79,315,5,-0.21999999999999953,0.97997824,0.022313618595944718,0.44605589704588056
46,40,157,2,-0.6099999999999999,0.97947136,0.022313618595944718,0.44605589704588056
47,82,327,5,-0.1899999999999995,0.97921792,0.022313618595944718,0.44605589704588056
48,85,340,5,-0.15999999999999948,0.9784576,0.022313618595944718,0.44605589704588056
49,21,81,1,-0.7999999999999999,0.97769728,0.022313618595944718,0.44605589704588056
50,88,349,5,-0.12999999999999945,0.97769728,0.022313618595944718,0.44605589704588056
51,88,351,5,-0.12999999999999945,0.97769728,0.022313618595944718,0.44605589704588056
52,88,352,5,-0.12999999999999945,0.97769728,0.022313618595944718,0.44605589704588056
53,63,250,4,-0.37999999999999967,0.97693696,0.022313618595944718,0.44605589704588056
54,92,366,6,-0.08999999999999941,0.97668352,0.022313618595944718,0.44605589704588056
55,93,370,6,-0.0799999999999994,0.97643008,0.022313618595944718,0.44605589704588056
56,75,298,4,-0.25999999999999956,0.9756697599999999,0.022313618595944718,0.44605589704588056
57,96,384,6,-0.04999999999999938,0.9756697599999999,0.022313618595944718,0.44605589704588056
58,97,386,6,-0.03999999999999937,0.97541632,0.026736047693702858,0.5345849618315697
59,97,386,6,-0.03999999999999937,0.97541632,0.026736047693702858,0.5345849618315697
60,98,391,6,-0.02999999999999936,0.97516288,0.026736047693702858,0.5345849618315697
61,72,286,4,-0.2899999999999996,0.97490944,0.026736047693702858,0.5345849618315697
62,99,394,6,-0.01999999999999935,0.97490944,0.026736047693702858,0.5345849618315697
63,99,395,6,-0.01999999999999935,0.97490944,0.026736047693702858,0.5345849618315697
64,8,32,0,-0.9299999999999999,0.974656,0.026736047693702858,0.5345849618315697
65,100,397,6,-0.009999999999999343,0.974656,0.026736047693702858,0.5345849618315697
66,102,407,6,0.010000000000000675,0.97414912,0.026736047693702858,0.5345849618315697
67,55,219,3,-0.45999999999999974,0.97414912,0.026736047693702858,0.5345849618315697
68,103,409,6,0.020000000000000684,0.97389568,0.026736047693702858,0.5345849618315697
69,103,409,6,0.020000000000000684,0.97389568,0.026736047693702858,0.5345849618315697
70,106,424,7,0.05000000000000071,0.97313536,0.026736047693702858,0.5345849618315697
71,107,427,7,0.06000000000000072,0.97288192,0.026736047693702858,0.5345849618315697
72,107,426,7,0.06000000000000072,0.97288192,0.026736047693702858,0.5345849618315697
73,54,216,3,-0.46999999999999975,0.97262848,0.026736047693702858,0.5345849618315697
74,110,440,7,0.09000000000000075,0.9721216,0.026736047693702858,0.5345849618315697
75,83,329,5,-0.1799999999999995,0.97186816,0.026736047693702858,0.5345849618315697
76,114,454,7,0.13000000000000078,0.9711078399999999,0.026736047693702858,0.5345849618315697
77,80,320,5,-0.20999999999999952,0.97034752,0.026736047693702858,0.5345849618315697
78,119,474,7,0.18000000000000083,0.96984064,0.026736047693702858,0.5345849618315697
79,124,495,8,0.23000000000000087,0.96857344,0.026736047693702858,0.5345849618315697
80,124,495,8,0.23000000000000087,0.96857344,0.026736047693702858,0.5345849618315697
81,125,499,8,0.24000000000000088,0.96832,0.026736047693702858,0.5345849618315697
82,126,502,8,0.2500000000000009,0.96806656,0.026736047693702858,0.5345849618315697
83,103,411,6,0.020000000000000684,0.96806656,0.026736047693702858,0.5345849618315697
84,114,455,7,0.13000000000000078,0.96781312,0.026736047693702858,0.5345849618315697
85,128,510,8,0.2700000000000009,0.96755968,0.026736047693702858,0.5345849618315697
86,107,425,7,0.06000000000000072,0.96730624,0.03230076763429679,0.5954635171219707
87,75,300,5,-0.25999999999999956,0.96679936,0.03230076763429679,0.5954635171219707
88,32,125,2,-0.69,0.96679936,0.03230076763429679,0.5954635171219707
89,132,528,8,0.31000000000000094,0.96654592,0.03230076763429679,0.5954635171219707
90,132,527,8,0.31000000000000094,0.96654592,0.03230076763429679,0.5954635171219707
91,68,270,4,-0.3299999999999996,0.96629248,0.03230076763429679,0.5954635171219707
92,134,534,8,0.33000000000000096,0.96603904,0.03230076763429679,0.5954635171219707
93,88,352,5,-0.12999999999999945,0.96603904,0.03230076763429679,0.5954635171219707
94,136,543,9,0.350000000000001,0.96553216,0.03230076763429679,0.5954635171219707
95,137,546,9,0.360000000000001,0.96527872,0.03230076763429679,0.5954635171219707
96,61,241,4,-0.3999999999999997,0.96477184,0.03230076763429679,0.5954635171219707
97,39,155,2,-0.6199999999999999,0.96477184,0.03230076763429679,0.5954635171219707
98,139,554,9,0.380000000000001,0.96477184,0.03230076763429679,0.5954635171219707
99,140,560,9,0.390000000000001,0.9645184,0.03230076763429679,0.5954635171219707
100,142,565,9,0.41000000000000103,0.96401152,0.03230076763429679,0.5954635171219707
101,142,568,9,0.41000000000000103,0.96401152,0.03230076763429679,0.5954635171219707
102,143,572,9,0.42000000000000104,0.96375808,0.03230076763429679,0.5954635171219707
103,71,284,4,-0.2999999999999996,0.96350464,0.03230076763429679,0.5954635171219707
104,144,575,9,0.43000000000000105,0.96350464,0.03230076763429679,0.5954635171219707
105,149,596,9,0.4800000000000011,0.96223744,0.03230076763429679,0.5954635171219707
106,151,604,10,0.5000000000000011,0.96173056,0.03230076763429679,0.5954635171219707
107,154,615,10,0.5300000000000011,0.96097024,0.03230076763429679,0.5954635171219707
108,155,618,10,0.5400000000000011,0.9607168,0.03230076763429679,0.5954635171219707
109,156,622,10,0.5500000000000012,0.96046336,0.03230076763429679,0.5954635171219707
110,33,130,2,-0.6799999999999999,0.96020992,0.03230076763429679,0.5954635171219707
111,157,628,10,0.5600000000000012,0.96020992,0.03230076763429679,0.5954635171219707
112,159,633,10,0.5800000000000012,0.95970304,0.03230076763429679,0.5954635171219707
113,159,633,10,0.5800000000000012,0.95970304,0.03230076763429679,0.5954635171219707
114,160,637,10,0.5900000000000012,0.9594496,0.03230076763429679,0.5954635171219707
115,109,433,7,0.08000000000000074,0.95894272,0.034288725386431906,0.6547060068696737
116,163,652,10,0.6200000000000012,0.95868928,0.034288725386431906,0.6547060068696737
117,163,650,10,0.6200000000000012,0.95868928,0.034288725386431906,0.6547060068696737
118,38,151,2,-0.6299999999999999,0.95843584,0.034288725386431906,0.6547060068696737
119,127,507,8,0.2600000000000009,0.9581824,0.034288725386431906,0.6547060068696737
120,165,657,10,0.6400000000000012,0.9581824,0.034288725386431906,0.6547060068696737
121,62,245,4,-0.3899999999999997,0.9581824,0.034288725386431906,0.6547060068696737
122,166,664,11,0.6500000000000012,0.95792896,0.034288725386431906,0.6547060068696737
123,167,667,11,0.6600000000000013,0.95767552,0.034288725386431906,0.6547060068696737
124,64,254,4,-0.36999999999999966,0.95767552,0.034288725386431906,0.6547060068696737
125,97,387,6,-0.03999999999999937,0.95742208,0.034288725386431906,0.6547060068696737
126,27,108,1,-0.74,0.95716864,0.034288725386431906,0.6547060068696737
127,157,625,10,0.5600000000000012,0.9569152,0.034288725386431906,0.6547060068696737
128,116,462,7,0.1500000000000008,0.95615488,0.034288725386431906,0.6547060068696737
129,76,303,5,-0.24999999999999956,0.95488768,0.034288725386431906,0.6547060068696737
130,178,711,11,0.7700000000000014,0.95488768,0.034288725386431906,0.6547060068696737
131,179,716,11,0.7800000000000014,0.95463424,0.034288725386431906,0.6547060068696737
132,180,719,11,0.7900000000000014,0.9543808,0.034288725386431906,0.6547060068696737
133,170,677,11,0.6900000000000013,0.95387392,0.034288725386431906,0.6547060068696737
134,20,80,1,-0.8099999999999999,0.95387392,0.034288725386431906,0.6547060068696737
135,183,729,12,0.8200000000000014,0.95362048,0.034288725386431906,0.6547060068696737
136,183,732,12,0.8200000000000014,0.95362048,0.034288725386431906,0.6547060068696737
137,113,451,7,0.12000000000000077,0.95362048,0.034288725386431906,0.6547060068696737
138,138,549,9,0.370000000000001,0.95286016,0.034288725386431906,0.6547060068696737
139,187,748,12,0.8600000000000014,0.95260672,0.034288725386431906,0.6547060068696737
140,187,745,12,0.8600000000000014,0.95260672,0.034288725386431906,0.6547060068696737
141,88,352,5,-0.12999999999999945,0.95235328,0.034288725386431906,0.6547060068696737
142,21,84,1,-0.7999999999999999,0.95209984,0.034288725386431906,0.6547060068696737
