episode,env_steps,weight_norm,srank,srank_max
2091,409600,27.9593505859375,73,256
2981,819200,29.52294158935547,69,256
3690,1228800,30.838029861450195,43,256
4279,1638400,31.837270736694336,69,256
4807,2048000,32.58088684082031,60,256
5341,2457600,33.17274856567383,60,256
5802,2867200,33.74449920654297,48,256
6234,3276800,34.06907653808594,68,256
6606,3686400,34.3273811340332,63,256
6940,4096000,34.49445724487305,70,256
7267,4505600,34.55961608886719,57,256
7550,4915200,34.58228302001953,63,256
7612,4997120,34.583038330078125,55,256
